,id,name,type,domain,stripe_customer_id,stripe_subscription_id,company_id,required_credits_annual,customer_id,mrr_cents,current_annual_revenue
0,co_013c7f23-30db-4a37-b0d4-9b07256824a7,With Today,AGENCY,withtoday.com,cus_SuXqYY3xEjoEm3,sub_1Ryim0KojVEYZPlXLhe13j5S,co_013c7f23-30db-4a37-b0d4-9b07256824a7,15.0,,,0.0
1,co_0158fa71-9257-4339-83c1-5bbc0aef17b9,FeetFinder,IN_HOUSE,feetfinder.com,cus_Sf2TtGmye6JG1d,sub_1RjiSbKojVEYZPlXyPwm2bQC,co_0158fa71-9257-4339-83c1-5bbc0aef17b9,57.0,,,0.0
2,co_018bcf89-5317-4104-88df-9f6e77a52276,TrueClicks,IN_HOUSE,trueclicks.com,cus_SytMawkXSQzCwo,sub_1S2vbmKojVEYZPlX79pt2DcB,co_018bcf89-5317-4104-88df-9f6e77a52276,27.0,cus_SytMawkXSQzCwo,8900.0,1068.0
3,co_01929ee0-9f9c-48fd-8297-0bb6eef899b4,Boat24,IN_HOUSE,boat24.com,cus_StEp76BZPiR3UC,sub_1RxSPKKojVEYZPlXyPLPjWWL,co_01929ee0-9f9c-48fd-8297-0bb6eef899b4,36.0,cus_StEp76BZPiR3UC,8900.0,1068.0
4,co_01dcf2fa-95ad-454a-8e01-2db37387af58,Gear4music,IN_HOUSE,gear4music.com,cus_SoKQVKYPKRFBG9,sub_1RshssKojVEYZPlXHv3eHQUu,co_01dcf2fa-95ad-454a-8e01-2db37387af58,300.0,cus_SoKQVKYPKRFBG9,19900.0,2388.0
5,co_0244f14e-478a-4554-8406-7eada3ae5523,RivalMind,AGENCY,rivalmind.com,cus_T4U7CHviUvCBko,sub_1S8L9dKojVEYZPlXlKUKcjum,,0.0,cus_T4U7CHviUvCBko,9950.0,1194.0
6,co_025b0a1d-e90c-4c70-a0fd-322b1d0d763e,Harper James,IN_HOUSE,harperjames.co.uk,cus_Sr2galowxQOWj7,sub_1RvKbdKojVEYZPlXEkHB55Fb,co_025b0a1d-e90c-4c70-a0fd-322b1d0d763e,150.0,cus_Sr2galowxQOWj7,49900.0,5988.0
7,co_02731c7e-aacd-41d5-b9a1-4d2964f38af6,addmustard,AGENCY,addmustard.com,cus_SijHWo4YDxCR3c,sub_1RnHslKojVEYZPlXP4VTZj8i,co_02731c7e-aacd-41d5-b9a1-4d2964f38af6,18.0,cus_SijHWo4YDxCR3c,19900.0,2388.0
8,co_027e970c-943f-4457-99df-df1cce1f6e35,SciChart,IN_HOUSE,scichart.com,cus_T6fe2yPm2rOE7y,sub_1SASKWKojVEYZPlX9AhEsA4a,co_027e970c-943f-4457-99df-df1cce1f6e35,15.0,,,0.0
9,co_0290e269-ce08-418d-a301-fd32fc9f23db,Lamasuli,IN_HOUSE,lamasuli.de,cus_T6e8OfJSCANz92,sub_1SAQsfKojVEYZPlXHW7Mbwrr,co_0290e269-ce08-418d-a301-fd32fc9f23db,66.0,,,0.0
10,co_030cbbef-21fb-4d60-9c21-433bb8a9d6f1,COR Berlin Kommunikation ,AGENCY,cor-berlin.com,cus_SmAjrdVG2Y1SNG,sub_1RqcPgKojVEYZPlXofxpcUGX,co_030cbbef-21fb-4d60-9c21-433bb8a9d6f1,15.0,cus_SmAjrdVG2Y1SNG,8900.0,1068.0
11,co_031ed9a7-1b61-476c-b4d8-9883d6c63f43,Kollective,AGENCY,kollective.gr,cus_Sf1yAcHaTYWBb9,sub_1RjhwFKojVEYZPlXv7TlwDPA,co_031ed9a7-1b61-476c-b4d8-9883d6c63f43,115.0,cus_Sf1yAcHaTYWBb9,2000.0,240.0
12,co_036a5005-66d5-4b5d-bd74-6a0fdf471c17,Lusha,IN_HOUSE,lusha.com,cus_SqBeTqXvxYnVVG,sub_1RuVHIKojVEYZPlXAt70q8nH,co_036a5005-66d5-4b5d-bd74-6a0fdf471c17,282.0,cus_SqBeTqXvxYnVVG,19900.0,2388.0
13,co_03d2d028-61d4-46a5-8c32-f57164eb3c95,Koddi,IN_HOUSE,koddi.com,cus_Sc4JD97cQKQgno,sub_1RgqCEKojVEYZPlXEYBUz9nd,co_03d2d028-61d4-46a5-8c32-f57164eb3c95,27.0,cus_Sc4JD97cQKQgno,8900.0,1068.0
14,co_03df17cb-11b6-4b31-b0f3-4ee5bbb425fb,Alt Text Ai,IN_HOUSE,alttext.ai,cus_SsBTMirvURoe68,sub_1RwR6iKojVEYZPlXiCE8H4fZ,co_03df17cb-11b6-4b31-b0f3-4ee5bbb425fb,75.0,cus_SsBTMirvURoe68,8900.0,1068.0
15,co_04314f46-570d-4ab4-9df8-c7d0a2d75fb9,Speed Communications,IN_HOUSE,speedcommunications.com,cus_SlKsIxp9emIvGl,sub_1S10y7KojVEYZPlXJIkStZah,co_04314f46-570d-4ab4-9df8-c7d0a2d75fb9,27.0,cus_SlKsIxp9emIvGl,8900.0,1068.0
