company_name,company_domain,company_type,orgs_count,orgs_count_hf,current_mrr,current_arr,interval,prompt_usage,prompt_capacity,credits_usage,credits_capacity,plan_name,mrr,mrr_change,arr_change,extra_credits_purchased,surplus_credits
Flying Cat,flyingcatmarketing.com,AGENCY,5,0,499,5988,month,146,355,13140,31950,growth (12935),491,-7,-89,19015,0
Wickey,wickey.de,IN_HOUSE,1,0,199,2388,month,25,100,2250,9000,pro (14925),199,0,0,0,5925
FeetFinder,feetfinder.com,IN_HOUSE,1,0,199,2388,month,19,100,1710,9000,pro (14925),199,0,0,0,5925
TrueClicks,trueclicks.com,IN_HOUSE,1,0,89,1068,month,9,25,810,2250,starter (3560),89,0,0,0,1310
CommsCo,thecommsco.com,AGENCY,4,0,280,3360,month,76,100,6840,9000,growth (12935),199,-81,-972,0,3935
Gear4music,gear4music.com,IN_HOUSE,1,0,199,2388,month,100,100,9000,9000,pro (14925),199,0,0,0,5925
Betmode,betmode.io,IN_HOUSE,1,0,199,2388,month,27,100,2430,9000,pro (14925),199,0,0,0,5925
RivalMind,rivalmind.com,AGENCY,3,0,199,2388,month,55,60,4950,5400,growth (12935),199,0,0,0,7535
Harper James,harperjames.co.uk,IN_HOUSE,1,0,499,5988,month,82,300,7380,27000,pro (14925),360,-139,-1668,12075,0
addmustard,addmustard.com,AGENCY,1,0,199,2388,month,24,25,2160,2250,intro (2250),89,-110,-1320,0,0
SciChart,scichart.com,IN_HOUSE,1,0,199,2388,month,5,100,450,9000,pro (14925),199,0,0,0,5925
COR Berlin Kommunikation ,cor-berlin.com,AGENCY,1,0,89,1068,month,5,25,450,2250,intro (2250),89,0,0,0,0
Kollective,kollective.gr,AGENCY,9,0,200,2400,month,49,90,4710,8400,growth (12935),199,-1,-12,0,4535
Lusha,lusha.com,IN_HOUSE,1,0,199,2388,month,94,100,8460,9000,pro (14925),199,0,0,0,5925
Koddi,koddi.com,IN_HOUSE,1,0,89,1068,month,9,25,810,2250,starter (3560),89,0,0,0,1310
Alt Text Ai,alttext.ai,IN_HOUSE,1,0,89,1068,month,25,25,2250,2250,starter (3560),89,0,0,0,1310
Speed Communications,speedcommunications.com,IN_HOUSE,1,0,89,1068,month,9,25,810,2250,starter (3560),89,0,0,0,1310
Barthet,barthet.com,IN_HOUSE,1,0,89,1068,month,25,25,2250,2250,starter (3560),89,0,0,0,1310
Telefónica ,telefonica.de,IN_HOUSE,1,1,499,5988,month,107,300,16050,45000,enterprise (49900),499,0,0,0,4900
audibene,audibene.de,IN_HOUSE,1,0,89,1068,month,25,25,2250,2250,starter (3560),89,0,0,0,1310
NFM,nfm.com,IN_HOUSE,1,0,89,1068,month,25,25,2250,2250,starter (3560),89,0,0,0,1310
Firesign,firesignmarketing.com,AGENCY,2,0,199,2388,month,16,100,1440,9000,growth (12935),199,0,0,0,3935
MacRAE's,macraes.com,AGENCY,5,0,195,2340,month,88,100,7920,9000,growth (12935),199,4,48,0,3935
Omniscient,beomniscient.com,AGENCY,15,2,1260,15120,month,349,400,33300,38250,scale (37425),512,-747,-8972,1000,175
HashMicro,hashmicro.com,IN_HOUSE,1,0,199,2388,month,6,100,540,9000,pro (14925),199,0,0,0,5925
BIKE24,bike24.de,IN_HOUSE,1,0,199,2388,month,97,100,8730,9000,pro (14925),199,0,0,0,5925
Siteminder,siteminder.com,IN_HOUSE,1,0,299,3588,month,101,200,9090,18000,pro (14925),240,-59,-708,3075,0
Blueprint for Scale,blueprintforscale.com,AGENCY,1,0,89,1068,month,8,25,720,2250,intro (2250),89,0,0,0,0
Ray Sono,raysono.com,AGENCY,1,0,89,1068,month,16,25,1440,2250,intro (2250),89,0,0,0,0
Soda PDF,sodapdf.com,IN_HOUSE,1,0,199,2388,month,58,100,5220,9000,pro (14925),199,0,0,0,5925
Fielmann,fielmann.de,IN_HOUSE,1,0,199,2388,month,68,100,6120,9000,pro (14925),199,0,0,0,5925
Bloom Search Marketing,makeitbloom.com,AGENCY,1,0,89,1068,month,15,25,2700,4500,intro (2250),178,89,1068,2250,0
KO-PYLOT,ko-pylot.com,AGENCY,1,0,89,1068,month,30,25,2700,2250,intro (2250),89,0,0,0,0
Agency,agency.com,AGENCY,1,0,89,1068,month,6,25,540,2250,intro (2250),89,0,0,0,0
