id,name,domain,type,leadType,stripeCustomerId,stripeSubscriptionStatus,stripeSubscriptionId
co_01dbefdf-03bd-4788-90c3-8aeb11c359f7,CommsCo,thecommsco.com,AGENCY,SALES,,active,sub_1RqEu2KojVEYZPlX9mMIMKnT
co_0233a730-6c30-4155-b1b1-742b6eda813c,Betmode,betmode.io,IN_HOUSE,SALES,,active,sub_1S2gFqKojVEYZPlXz2CxbgDq
co_05b23b18-9180-4a30-b1ea-15557c770239,MacRAE's,macraes.com,AGENCY,SALES,,active,sub_1RyBmkKojVEYZPlXL6pOzNYw
co_1017f0cf-edeb-4dda-a41e-81680eaf9760,Sleeplay,sleeplay.com,IN_HOUSE,SALES,,active,sub_1Roob1KojVEYZPlX8rtwR75E
co_11641df0-7f50-49df-a6da-3cee2d099ac8,Yours Sincerely,yourssincerely.online,AGENCY,SALES,,active,sub_1Rt3NEKojVEYZPlXmDLUa8Kx
co_26ea2cdb-f399-4ef4-b32a-3b0c8fcbace9,Results Driven Marketing,yourgooglegirls.com,AGENCY,SALES,,active,sub_1S1AW8KojVEYZPlXZBBxbEAe
co_2e6c9c33-2362-4181-a1da-838cd336d299,Fotocasa,fotocasa.es,IN_HOUSE,SALES,,active,sub_1Rqr58KojVEYZPlXA4LkghVX
co_32dd5ddb-9464-4dd6-901e-c63389d7b5fb,Techem ,techem.de,IN_HOUSE,SALES,,active,sub_1Ry8pGKojVEYZPlXyGn1wbke
co_3727f542-b1c5-4088-b0ac-b7accc6b0e2f,Outrank,outrank.se,AGENCY,SALES,,active,sub_1Ruq5TKojVEYZPlX3OPNz2oZ
co_3de1de01-f101-459f-9ac9-40dc5e91c11a,AiPrise,aiprise.com,IN_HOUSE,SALES,,active,sub_1RpunuKojVEYZPlX8ueBtUEU
co_4646b593-76d8-4232-b132-6cc6cc4aaf29,Cellgo,cellgo.io,IN_HOUSE,SALES,,active,sub_1RyviGKojVEYZPlXcS0xKNN0
co_52fee16d-3823-472c-87fb-5d4c406928af,liveconscious,weliveconscious.com,IN_HOUSE,SALES,,active,sub_1RqMEuKojVEYZPlXneZ3a1dn
co_6916b07e-c4b0-4758-b27f-a4875afd8dce,Digi-Express,digi-express.co.za,AGENCY,SALES,,active,sub_1RrHh5KojVEYZPlXo4aHGPBe
co_6c4c0242-05a1-4d88-85a8-868e8476de49,Eduki,eduki.com,IN_HOUSE,SALES,,active,sub_1S8NkWKojVEYZPlXT3CFGs1t
co_710ffb18-5716-43a7-ac3f-ca82e0ff35d6,beFranz,befranz.at,AGENCY,SALES,,active,sub_1S90GzKojVEYZPlX2y0WMo6w
