id,name,type,domain,stripe_customer_id,stripe_subscription_id,customer_id_x,purchased_capacity,orgs_purchased,company_id_x,orgs_count,prompts_count,prompt_limit,credits_usage,credits_capacity,orgs_count_hf,company_id_y,customer_id_y,subscription_id,mrr,arr,discount_count,currency,interval,baseline_credits_needed,effective_discount_pct
co_067dd432-f307-4518-8a74-47da782520ff,Payhawk,IN_HOUSE,payhawk.com,cus_SOsQgvFZLoD0Ew,sub_1RVa7YKojVEYZPlXuTXVJkkU,,,,co_067dd432-f307-4518-8a74-47da782520ff,1.0,300.0,300.0,45000.0,45000.0,0.0,,,,,,,,,45000.0,0
co_0c8ec0dd-1345-4b98-aae4-aa3216b77692,Create Group,AGENCY,creategroup.me,cus_STNbyxiwmFTzbH,sub_1SFE5DKojVEYZPlX6TSBuNAJ,,,,co_0c8ec0dd-1345-4b98-aae4-aa3216b77692,1.0,1599.0,1600.0,143910.0,144000.0,0.0,,,,,,,,,144000.0,0
co_0d0915cd-38a9-48e8-a0ef-6ca0c36a4cfe,Practice Better,IN_HOUSE,practicebetter.io,cus_StiFxii3KLcese,sub_1S3jooKojVEYZPlXfgCKXchx,,,,co_0d0915cd-38a9-48e8-a0ef-6ca0c36a4cfe,1.0,24.0,25.0,2160.0,2250.0,0.0,,,,,,,,,2250.0,0
co_1017f0cf-edeb-4dda-a41e-81680eaf9760,Sleeplay,IN_HOUSE,sleeplay.com,cus_SkJD6GeuIv227U,sub_1Roob1KojVEYZPlX8rtwR75E,,,,co_1017f0cf-edeb-4dda-a41e-81680eaf9760,1.0,100.0,100.0,9000.0,9000.0,0.0,,,,,,,,,9000.0,0
co_17dd72f8-fc6e-4512-a50b-cbb60ab59b3b,test,IN_HOUSE,test.de,cus_T4o3Jv58oTzb9T,sub_1S8eSVKojVEYZPlX2rqrEY3x,cus_T4o3Jv58oTzb9T,25.0,2.0,co_17dd72f8-fc6e-4512-a50b-cbb60ab59b3b,2.0,5.0,50.0,450.0,4500.0,0.0,co_17dd72f8-fc6e-4512-a50b-cbb60ab59b3b,cus_T4o3Jv58oTzb9T,sub_1S8eSVKojVEYZPlX2rqrEY3x,0.0,,1.0,eur,month,4500.0,0
co_184e2969-6c16-4c03-8a3d-f9a10e7fb214,upvotemarketing.com,IN_HOUSE,upvotemarketing.com,cus_SREF07L6UeeX5R,sub_1Rq8bDKojVEYZPlXCz0oC3Wp,cus_SREF07L6UeeX5R,100.0,1.0,co_184e2969-6c16-4c03-8a3d-f9a10e7fb214,1.0,0.0,100.0,0.0,9000.0,0.0,co_184e2969-6c16-4c03-8a3d-f9a10e7fb214,cus_SREF07L6UeeX5R,sub_1Rq8bDKojVEYZPlXCz0oC3Wp,0.0,,1.0,eur,month,9000.0,0
co_2f39b682-68af-4870-8599-d35214398d63,Finanztip,IN_HOUSE,finanztip.de,cus_SoJC9x2U8C6TQs,sub_1RvgE9KojVEYZPlXG4ntqu5P,,,,co_2f39b682-68af-4870-8599-d35214398d63,1.0,100.0,100.0,9000.0,9000.0,1.0,,,,,,,,,9000.0,0
co_31fcf660-688e-4e76-8d22-9d3d3b9e66bc,Handl,IN_HOUSE,super.site,cus_SPJ8wFDSoHFNRt,sub_1Rq8YWKojVEYZPlXqEV55c4z,cus_SPJ8wFDSoHFNRt,100.0,1.0,co_31fcf660-688e-4e76-8d22-9d3d3b9e66bc,1.0,2.0,100.0,360.0,18000.0,0.0,co_31fcf660-688e-4e76-8d22-9d3d3b9e66bc,cus_SPJ8wFDSoHFNRt,sub_1Rq8YWKojVEYZPlXqEV55c4z,0.0,,1.0,eur,month,18000.0,0
co_38858cf3-b340-4240-a097-59ef0437be24,SlotoCash,IN_HOUSE,slotocash.im,cus_SjQWhzh858Sbk4,sub_1RsKSlKojVEYZPlXeBXCRw4N,,,,co_38858cf3-b340-4240-a097-59ef0437be24,1.0,100.0,100.0,9000.0,9000.0,0.0,,,,,,,,,9000.0,0
co_3a89fbf6-440b-423f-9eba-7dc1edc607d6,Jacob McMillen,AGENCY,jacobmcmillen.com,cus_SdYJplAagrT9R6,sub_1Rq81kKojVEYZPlX7cIXE8cj,cus_SdYJplAagrT9R6,100.0,1.0,co_3a89fbf6-440b-423f-9eba-7dc1edc607d6,1.0,25.0,25.0,2250.0,2250.0,0.0,co_3a89fbf6-440b-423f-9eba-7dc1edc607d6,cus_SdYJplAagrT9R6,sub_1Rq81kKojVEYZPlX7cIXE8cj,0.0,,1.0,eur,month,2250.0,0
co_3aba6cd6-f364-43ce-89e4-47c699f17ee9,CGTrader,IN_HOUSE,cgtrader.com,cus_SanfGRku7fE3me,sub_1SA7QrKojVEYZPlXcVvzqQRA,,,,co_3aba6cd6-f364-43ce-89e4-47c699f17ee9,1.0,58.0,100.0,10440.0,18000.0,0.0,,,,,,,,,18000.0,0
co_3b8ecf9d-6d4e-4dec-a919-7485907e6228,test,IN_HOUSE,test.com,cus_T9g19qutoXpHNg,sub_1SDMgBKojVEYZPlXdcRW0X0H,cus_T9g19qutoXpHNg,25.0,1.0,co_3b8ecf9d-6d4e-4dec-a919-7485907e6228,1.0,5.0,25.0,450.0,2250.0,0.0,co_3b8ecf9d-6d4e-4dec-a919-7485907e6228,cus_T9g19qutoXpHNg,sub_1SDMgBKojVEYZPlXdcRW0X0H,0.0,,1.0,eur,month,2250.0,0
co_3ba6e9b6-68d0-4475-8dfe-0aa7924e2e4a,Moneypenny,IN_HOUSE,moneypenny.co.uk,cus_SjZByUglDp3x0a,sub_1RvH5MKojVEYZPlX88OeTnYf,,,,co_3ba6e9b6-68d0-4475-8dfe-0aa7924e2e4a,1.0,54.0,100.0,6480.0,12000.0,0.0,,,,,,,,,12000.0,0
co_3c2fb88d-2885-4d06-bb9a-d187c9f77472,Smarty Marketing,AGENCY,smarty.marketing,cus_SobNzvVKioQlCZ,sub_1RtVyfKojVEYZPlXPp54HipF,cus_SobNzvVKioQlCZ,25.0,1.0,co_3c2fb88d-2885-4d06-bb9a-d187c9f77472,1.0,8.0,50.0,720.0,4500.0,0.0,co_3c2fb88d-2885-4d06-bb9a-d187c9f77472,cus_SobNzvVKioQlCZ,sub_1RtVyfKojVEYZPlXPp54HipF,0.0,,1.0,usd,month,4500.0,0
co_4bdb85e2-1c3d-4f17-a14d-f220b7187c76,Effy,IN_HOUSE,effy.fr,cus_Sys5Y94NjstqnV,sub_1SItF2KojVEYZPlX6j2xhz1w,,,,co_4bdb85e2-1c3d-4f17-a14d-f220b7187c76,1.0,25.0,150.0,2250.0,13500.0,0.0,,,,,,,,,13500.0,0
co_551f3bb8-5023-4a83-a214-90699a3243e1,BP Digital,AGENCY,bpdigital.hu,cus_StFKcCtnQYOOuZ,sub_1RojmUKojVEYZPlXF0KQI3fP,,,,co_551f3bb8-5023-4a83-a214-90699a3243e1,1.0,11.0,25.0,990.0,2250.0,0.0,,,,,,,,,2250.0,0
co_555d7862-b14b-427d-bc6f-967de43b036f,XPort,AGENCY,xport.de,cus_T9qoILDTJRXOna,sub_1SJG0eKojVEYZPlXTCdNfkuq,,,,co_555d7862-b14b-427d-bc6f-967de43b036f,1.0,20.0,100.0,1800.0,9000.0,0.0,,,,,,,,,9000.0,0
co_56962a22-b3c7-483e-8579-d28f2c6f0d45,ExRohr,AGENCY,ex-rohr.de,cus_T01RGPDNhtmtS2,sub_1SAACiKojVEYZPlXasLsy6UC,,,,co_56962a22-b3c7-483e-8579-d28f2c6f0d45,1.0,25.0,25.0,2250.0,2250.0,0.0,,,,,,,,,2250.0,0
co_5bfee81d-2fa5-450c-ba25-d4b4b845a58c,1Komma5,IN_HOUSE,1komma5.com,cus_SzvzgeyapGSDDT,sub_1SAuyiKojVEYZPlXUxjcISMz,,,,co_5bfee81d-2fa5-450c-ba25-d4b4b845a58c,5.0,171.0,400.0,15390.0,36000.0,0.0,,,,,,,,,36000.0,0
co_65376c58-5f94-4fc0-bb68-d4e329919f4c,MSL,AGENCY,mslgroup.de,cus_SoNHosgPCEiD54,sub_1SBZCQKojVEYZPlXB20jyCUP,,,,co_65376c58-5f94-4fc0-bb68-d4e329919f4c,1.0,299.0,300.0,26910.0,27000.0,0.0,,,,,,,,,27000.0,0
co_6581d20a-33ec-495e-980e-5862dbb862d0,Birch,IN_HOUSE,bir.ch,cus_T4oFMHaXZFgmvM,sub_1S8edPKojVEYZPlXrWbNlnB9,cus_T4oFMHaXZFgmvM,25.0,1.0,,,,,,,,co_6581d20a-33ec-495e-980e-5862dbb862d0,cus_T4oFMHaXZFgmvM,sub_1S8edPKojVEYZPlXrWbNlnB9,89.0,,0.0,eur,month,,0
co_68e7ea64-8248-4268-8af2-ac9a72a653c0,Study.com,IN_HOUSE,study.com,cus_Sot5196R1ATKhR,sub_1S1Xk4KojVEYZPlXHcRFGJER,,,,co_68e7ea64-8248-4268-8af2-ac9a72a653c0,1.0,729.0,1000.0,65610.0,90000.0,0.0,,,,,,,,,90000.0,0
co_6916b07e-c4b0-4758-b27f-a4875afd8dce,Digi-Express,AGENCY,digi-express.co.za,cus_SmrPDKOHUNNsLz,sub_1RrHh5KojVEYZPlXo4aHGPBe,cus_SmrPDKOHUNNsLz,50.0,4.0,,,,,,,,co_6916b07e-c4b0-4758-b27f-a4875afd8dce,cus_SmrPDKOHUNNsLz,sub_1RrHh5KojVEYZPlXo4aHGPBe,398.0,,0.0,eur,month,,0
co_6a0eb72d-c885-43a8-a32e-73d280e6bcf4,The Show and Tell Agency,AGENCY,theshowandtellagency.com,cus_SwkpF61t9ctp1W,sub_1SECaGKojVEYZPlXZKOqSSay,,,,co_6a0eb72d-c885-43a8-a32e-73d280e6bcf4,1.0,16.0,25.0,1440.0,2250.0,0.0,,,,,,,,,2250.0,0
co_8812666e-9bfb-44fc-b252-b818cf4bf4f1,Max Borges Agency,AGENCY,maxborgesagency.com,cus_SpXZ7Z3dPBWNAp,sub_1Rw5XNKojVEYZPlXZ3LmAlpG,,,,co_8812666e-9bfb-44fc-b252-b818cf4bf4f1,1.0,61.0,100.0,5490.0,9000.0,0.0,,,,,,,,,9000.0,0
co_890406c9-7dbd-4d14-8718-25b13037b319,C-Factor AG,AGENCY,cfactor.ch,cus_T91AbFE0IwaHBw,sub_1SKhibKojVEYZPlXoeYSkEz0,,,,co_890406c9-7dbd-4d14-8718-25b13037b319,1.0,21.0,100.0,1890.0,9000.0,0.0,,,,,,,,,9000.0,0
co_8a9b51da-b538-4227-a77d-1c5095f454d1,VertoDigital,AGENCY,vertodigital.com,cus_RlnXKGF0oxvbL9,sub_1QsFwnKojVEYZPlXWipZ7TE6,cus_RlnXKGF0oxvbL9,30.0,3.0,,,,,,,,co_8a9b51da-b538-4227-a77d-1c5095f454d1,cus_RlnXKGF0oxvbL9,sub_1QsFwnKojVEYZPlXWipZ7TE6,180.0,,0.0,eur,month,,0
co_942a8c04-d62b-47c3-8538-ebe0df7cf394,Sitegeist,AGENCY,sitegeist.de,cus_Sl1TDBdAYT3aQt,sub_1Rq8BQKojVEYZPlXjem6lL8P,,,,co_942a8c04-d62b-47c3-8538-ebe0df7cf394,2.0,100.0,100.0,9000.0,9000.0,0.0,,,,,,,,,9000.0,0
co_98049ddf-47ae-4256-a235-196886dc06b5,rockin,AGENCY,rockinmedia.es,cus_T72XrkuNEFBcqi,sub_1SFeNOKojVEYZPlXxuo8ZvpQ,,,,co_98049ddf-47ae-4256-a235-196886dc06b5,4.0,92.0,300.0,8280.0,27000.0,0.0,,,,,,,,,27000.0,0
co_9f3cdcac-5104-446d-889d-2f1e9210ae7c,cyanite,IN_HOUSE,cyanite.ai,cus_SjRW1VIMqJzP8U,sub_1S8edPKojVEYZPlXrWbNlnB9,,,,co_9f3cdcac-5104-446d-889d-2f1e9210ae7c,1.0,25.0,25.0,2250.0,2250.0,0.0,,,,,,,,,2250.0,0
co_a4b3084c-9e47-4df2-a44f-1d8e1f750e44,Dahseo,AGENCY,dahseo.com,cus_T8LG6unHPXEvfe,sub_1SFgyRKojVEYZPlXuyyDnA7K,,,,co_a4b3084c-9e47-4df2-a44f-1d8e1f750e44,1.0,25.0,25.0,2250.0,2250.0,0.0,,,,,,,,,2250.0,0
co_ac5e1c9e-e342-48ed-a51d-a55c1e97f1f8,Nixon,IN_HOUSE,nixon.com,cus_Sr3GCCvQyibpkp,sub_1RvOuPKojVEYZPlXw1jcXoDQ,,,,co_ac5e1c9e-e342-48ed-a51d-a55c1e97f1f8,1.0,66.0,100.0,5940.0,9000.0,0.0,,,,,,,,,9000.0,0
