name,type,domain,stripe_customer_id,stripe_subscription_id,purchased_capacity,orgs_purchased,orgs_count,prompts_count,prompt_limit,credits_usage,credits_capacity,orgs_count_hf,subscription_id,mrr,arr,discount_count,currency,interval,baseline_credits_needed,effective_discount_pct,new_plan,plan_credits,plan_price,credit_price,purchased_credits,extra_credits_granted,extra_credits_granted_10
Flying Cat,AGENCY,flyingcatmarketing.com,cus_T6T5U4MOGZ7ntZ,sub_1SDr10KojVEYZPlXy4X5spim,300.0,1.0,7.0,197.0,505.0,17730.0,45450.0,0.0,sub_1SDr10KojVEYZPlXy4X5spim,499.0,,0.0,eur,month,45450.0,0,scale,37425,499,0.013333333333333334,0.0,8025.0,8827.5
Wickey,IN_HOUSE,wickey.de,cus_T40lDnXfwWLTJe,sub_1SD0bmKojVEYZPlXA2382RPf,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1SD0bmKojVEYZPlXA2382RPf,199.0,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0
Dot Dash,AGENCY,dotdash.io,cus_T2bSdUiWSeuKVX,sub_1SGhkrKojVEYZPlXgxccGh4K,25.0,1.0,1.0,6.0,25.0,540.0,2250.0,0.0,sub_1SGhkrKojVEYZPlXgxccGh4K,89.0,,0.0,usd,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0
TrueClicks,IN_HOUSE,trueclicks.com,cus_SytMawkXSQzCwo,sub_1S2vbmKojVEYZPlX79pt2DcB,25.0,1.0,1.0,9.0,25.0,810.0,2250.0,0.0,sub_1S2vbmKojVEYZPlX79pt2DcB,89.0,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0
CommsCo,AGENCY,thecommsco.com,cus_SlmRXxPfcvT5vJ,sub_1RqEu2KojVEYZPlX9mMIMKnT,25.0,1.0,4.0,76.0,100.0,6840.0,9000.0,0.0,sub_1RqEu2KojVEYZPlX9mMIMKnT,280.0,,0.0,eur,month,9000.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0
Gear4music,IN_HOUSE,gear4music.com,cus_SoKQVKYPKRFBG9,sub_1RshssKojVEYZPlXHv3eHQUu,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1RshssKojVEYZPlXHv3eHQUu,199.0,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0
Betmode,IN_HOUSE,betmode.io,cus_SydWtW8aT3NB0l,sub_1S2gFqKojVEYZPlXz2CxbgDq,100.0,1.0,1.0,31.0,100.0,2790.0,9000.0,0.0,sub_1S2gFqKojVEYZPlXz2CxbgDq,199.0,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0
RivalMind,AGENCY,rivalmind.com,cus_T4U7CHviUvCBko,sub_1S8L9dKojVEYZPlXlKUKcjum,50.0,3.0,5.0,105.0,100.0,9450.0,9000.0,0.0,sub_1S8L9dKojVEYZPlXlKUKcjum,199.0,,0.0,eur,month,9450.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0
Harper James,IN_HOUSE,harperjames.co.uk,cus_Sr2galowxQOWj7,sub_1RvKbdKojVEYZPlXEkHB55Fb,300.0,1.0,1.0,189.0,300.0,17010.0,27000.0,0.0,sub_1RvKbdKojVEYZPlXEkHB55Fb,499.0,,0.0,eur,month,27000.0,0,enterprise,49900,499,0.01,0.0,0.0,0.0
addmustard,AGENCY,addmustard.com,cus_SijHWo4YDxCR3c,sub_1RnHslKojVEYZPlXP4VTZj8i,100.0,1.0,1.0,24.0,25.0,2160.0,2250.0,0.0,sub_1RnHslKojVEYZPlXP4VTZj8i,199.0,,0.0,eur,month,2250.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0
