name,company_id,customer_id,subscription_id,mrr,arr,discount_count,currency,interval
Antler,co_2ebe593d-1e29-4669-8e0f-9e315cd56f5a,cus_Rg0jFvpFlajive,sub_1QmeiLKojVEYZPlXi5MWl3yK,178,,1.0,eur,month
Glide,co_66c7c3ff-4038-4dcc-b225-89f7fc5e212a,cus_RgT8o2F5OOUaSZ,sub_1Qn6CJKojVEYZPlXWJbZYtmw,138,,0.0,eur,month
Peak Ace,co_3b72236b-8e31-40a4-a1e8-0e764d0a66a7,cus_RkVsLVkfHVfbgw,sub_1Qr0qTKojVEYZPlXHvzPi4Za,1300,,0.0,eur,month
Something Inc.,co_7dd92ff3-4b2e-4f2d-820e-943aa303f0a5,cus_Rle9u38yh4qQwV,sub_1Qs6r7KojVEYZPlXmUSaEzTm,350,,0.0,eur,month
VertoDigital,co_8a9b51da-b538-4227-a77d-1c5095f454d1,cus_RlnXKGF0oxvbL9,sub_1QsFwnKojVEYZPlXWipZ7TE6,180,,0.0,eur,month
Suchhelden,co_75a298ac-a7ee-411a-a001-3eca23dcf1c8,cus_RlqqHruUNFA2Xa,sub_1QsJ8mKojVEYZPlXn7AcJGYQ,1680,,0.0,eur,month
Superside,co_af273fff-420d-4707-a44f-f06dac7589d5,cus_Ro9CwwoUwQ4J1I,sub_1QuWuQKojVEYZPlXr9wtEj5I,199,,0.0,eur,month
Flow Agency,co_1fea122e-be87-47f8-b459-4bb426706d35,cus_RpdUTheiW3FXhN,sub_1QvyDQKojVEYZPlXiKerghsd,210,,0.0,eur,month
saas.group,co_653ed519-88e1-4c7d-9866-93f16feb8f9a,cus_Rq1hmmxhI6OuWE,sub_1QwLeAKojVEYZPlXe0EwbFeN,330,,0.0,eur,month
Skribble,co_a5b9f4f0-d872-4fed-a217-d41a3c7284a9,cus_Rr69XZNAWsWkRq,sub_1QxNxGKojVEYZPlXy9fhtN82,199,,0.0,eur,month
AKAD Bildungsgesellschaft mbH,co_86db5ebf-a7f8-41b6-924e-45de568e9e1e,cus_Rr6wUVkUBGgKhu,sub_1QxOinKojVEYZPlXUC8hkH1J,199,,1.0,eur,month
precis.,co_09e1de7c-a6f4-462b-b534-d73326e33314,cus_RtTJLEcaVIJmYe,sub_1QzgNHKojVEYZPlX2gljsOWX,339,,1.0,eur,month
YOYABA,co_3fff8162-4aaa-4f1d-8e8d-76fb4ca4bc49,cus_RtlYEGtfhEVWHQ,sub_1Qzy18KojVEYZPlXEWSUpbu2,180,,0.0,eur,month
HomeToGo,co_6600b8fa-cbbc-4ba7-9486-57f7ccaafaa8,cus_RtqmMxwiFEgLb8,sub_1R035BKojVEYZPlXwdc4fELp,260,,0.0,eur,month
move-elevator,co_5e41599f-922b-4e27-89e1-a2d1f5596787,cus_RusCnGdat0Vtw2,sub_1R12SNKojVEYZPlXL5Y7Afzm,180,,0.0,eur,month
Dunham Law,co_8405a878-a124-4ff5-afdc-9f8295612793,cus_RvPwpLrZKABeov,sub_1R1Z6cKojVEYZPlX5tnW4mgh,610,,0.0,eur,month
LaVita,co_75531847-f792-4025-b6bf-a1cb7d8c054a,cus_RvxkyC66uEYj1S,sub_1R25pGKojVEYZPlXh9vHGufT,199,,0.0,eur,month
add2,co_735e859d-e2c2-42c6-8d22-28ced8d2fdf6,cus_Rw5S49evePHAIt,sub_1R2DI1KojVEYZPlXfz0bdvpj,180,,0.0,eur,month
Canyon,co_96c72c96-35a5-47b0-b22f-871a00879365,cus_RwM45ivh1mnear,sub_1R2TM1KojVEYZPlXr456K0LN,120,,0.0,eur,month
sevdesk,co_b728d827-ce93-4b8a-be7c-a1bfa6671ad8,cus_RwP53Db6knKaJi,sub_1R2WGyKojVEYZPlXp4gNMGIh,89,,0.0,eur,month
Linkspiel,co_dadec8e9-f77a-4b9e-a329-f2b2c3e62816,cus_RwPQGQNkT3jQPk,sub_1R2Wc6KojVEYZPlXZDSv9DQ7,314,,1.0,eur,month
Quicklizard,co_3f18bde5-f0cf-4277-820b-e381a4326abf,cus_Rxqdo040k2dCHP,sub_1R3uvpKojVEYZPlXtTKid9DY,96,,1.0,eur,month
Scandiweb,co_d42393cd-ad5b-4538-8eff-4eba5eb6084c,cus_RyDgy1gptDAZzu,sub_1R4HEwKojVEYZPlXSfytMWLo,180,,0.0,eur,month
Knewledge,co_9cec5b00-c309-4f2c-bd1a-d2b31e1dfd57,cus_Rz0Zhna3tx9Guh,sub_1R52YnKojVEYZPlXWktZznek,240,,0.0,eur,month
apideck,co_8283da61-a927-466a-a263-ac6515caaaef,cus_S0J7SMNaOIp8D6,sub_1R6IVPKojVEYZPlXcxwsmPZ4,399,,0.0,eur,month
Home365,co_2a35e318-fad4-41c4-9158-fe41fb75d0a6,cus_S0Yq0mvgd8FZ2m,sub_1R6Xj4KojVEYZPlXHZhumFL7,120,,0.0,eur,month
xpose360,co_fa90ad4a-8454-4a52-a443-b0a25763e854,cus_S0d99xRhBCpGdq,sub_1R6bsoKojVEYZPlXPKdLNtRF,180,,0.0,eur,month
UXCam,co_a93f9d7f-9a59-43fb-9563-f046e58ed769,cus_S0v7K00Pq8yq5w,sub_1R6tHMKojVEYZPlXUdEMpE4W,120,,0.0,eur,month
Italki,co_2feeac8a-e896-41b8-bd89-0e23846e4248,cus_S1DFkntFeDQ4Wf,sub_1R7AoqKojVEYZPlX7zsOgrz7,169,,0.0,eur,month
Zowie,co_b2ff3041-9045-48da-80b4-5c8e863f4c93,cus_S1KBqJY4uysSxa,sub_1R7HXKKojVEYZPlXThv4jr8j,120,,0.0,eur,month
The Media Image,co_c753b372-3eb6-4abd-a62b-07d3e1777607,cus_S1KF1sae2h24f3,sub_1R7HatKojVEYZPlXnwcbBpQD,860,,1.0,eur,month
TIpi Group,co_d29d5af1-a858-4175-9b2a-34dce2590746,cus_S2l0Z95ldGbZrp,sub_1R8fUlKojVEYZPlXWxkgAQLw,1900,,0.0,eur,month
eology,co_30583008-3ac4-43dc-9f04-a732ffc24b56,cus_S2nP2EcpcrOCv2,sub_1R8hp1KojVEYZPlXXBuByRsP,638,,1.0,eur,month
Zupo,co_eaac9d6c-7611-4876-906b-5a2056dd5895,cus_S2uZtjgqIZTnQ0,sub_1R8okoKojVEYZPlX30r8tXgZ,180,,0.0,eur,month
Eskimoz,co_57e9ab0c-f078-4cc2-a1dc-43d169bbea82,cus_S3f8kmqkqrOIWy,sub_1R9XoOKojVEYZPlXjv7DnDlf,180,,0.0,eur,month
sandbech,co_762b7d2f-7500-4c56-bdb5-a18219f00cd3,cus_S4C7OGsMhGEaOg,sub_1RA3jXKojVEYZPlXe60tV5ME,180,,0.0,eur,month
Ada Ventures,co_86d4e1cc-76c2-47d4-a1bd-1392323c43c0,cus_S4GTGxnPLvNQXL,sub_1RA7wEKojVEYZPlX9hvx2g6Q,120,,0.0,eur,month
Avenue Z,co_d3b17f27-8f3a-4491-84e7-aaa9a97fde7c,cus_S4IMJMR9CFwdio,sub_1RA9ljKojVEYZPlXRROSWMEU,687,,0.0,eur,month
Digital Leverage,co_1864112d-27c6-4133-a9f8-42d7d7992a94,cus_S4JOSu6Wy9TePM,sub_1RAAlQKojVEYZPlXm1wOoBOg,240,,0.0,eur,month
Forward Progress,co_6bd363d5-2faa-4b22-8b23-ee081de9a4a6,cus_S4NjZFGd2FI9sY,sub_1RAEy9KojVEYZPlXpVyPFpqT,189,,0.0,eur,month
Digital Sisco,co_4199c866-8008-4672-8650-4d6ee85e85aa,cus_S55NJwaC3JyH45,sub_1RAvDDKojVEYZPlXVrgC56Ab,468,,0.0,eur,month
GALE,co_9a073e12-03ea-4e86-b899-d77d0c98149d,cus_S5QtiBtxJrzkFQ,sub_1RBG1pKojVEYZPlXDvCqMiyq,1254,,0.0,eur,month
Boldare,co_1ba7ec5d-9ebb-4d31-b434-b06196a3dc2c,cus_S5jJP1HLx2B6gT,sub_1RBXqUKojVEYZPlXuupifcWL,96,,1.0,eur,month
7Learnings,co_91e82d76-9645-4a76-8bb7-7695d83a9590,cus_S5mSO5F9UjuSBK,sub_1RBat7KojVEYZPlXAtRar9Pi,120,,0.0,eur,month
Ad's up,co_8a74f576-feb8-4413-8448-32e4b303eae6,cus_S5r5o8OBT78eJg,sub_1RBfNZKojVEYZPlXLK6hxV46,379,,0.0,eur,month
Kosch Klink Performance,co_ae8a374a-3893-4c21-857c-1bea3a469807,cus_S66b1GlFrvkOxC,sub_1RBuNxKojVEYZPlXKVcBox5f,1374,,0.0,eur,month
omnisend,co_357181c0-4a9d-4f4c-9949-6c9abe0f3674,cus_S69hf6SBvtzyn8,sub_1RBxOPKojVEYZPlXroLq1rDm,120,,0.0,eur,month
Check24,co_1f7db888-f4e0-48aa-8f78-f1b097c76a07,cus_S6Dc5e9HoOwctp,sub_1RC1B2KojVEYZPlXeaEcXPtC,180,,0.0,eur,month
Studiohawk,co_56aca571-5503-40cb-a031-baefcd4896f9,cus_S6OW9Pf0xrqbUd,sub_1RCBjcKojVEYZPlXfPzlZzCN,750,,0.0,eur,month
LANDR,co_2c308ac7-d6ee-4cdb-89e2-c6830d657360,cus_S6YIRg5GOLNQyv,sub_1RCLCLKojVEYZPlXjl84s0nC,200,,0.0,eur,month
Attio,co_799412c7-27b0-4440-9a12-37e004b14db8,cus_S6v2ZUAhFvPKls,sub_1RChCwKojVEYZPlXkKeVSF9V,90,,0.0,eur,month
Better Sell Online,co_d8195be2-8911-4c4c-a540-47f654a31883,cus_S6v5Lbwy4qf0bx,sub_1RChFEKojVEYZPlXZ0YVyNMo,180,,0.0,eur,month
Digit Spark,co_9bb56f92-aa83-4c2b-9d58-2158c1b239e2,cus_S7yMbYUvyvS8N1,sub_1RDiQCKojVEYZPlXu89kAjyG,750,,0.0,eur,month
netzstrategen GmbH,co_62800e33-623e-4423-a9b1-13d2f74eee1b,cus_S802GouerXdAsS,sub_1RDlI6KojVEYZPlXh2RergN3,199,,0.0,eur,month
Henning Heesen & Company®,co_2e43e0a1-dcab-4f34-9276-b1c2874eeac5,cus_S85gNCZV1KwrhW,sub_1RDpVTKojVEYZPlXYKQtgUzb,90,,0.0,eur,month
Youtech,co_fdc9a4c7-5004-4c78-a034-a7e902c6f6b6,cus_S8W2RFphwh0cKL,sub_1REF0BKojVEYZPlXO7OiyLZl,803,,1.0,eur,month
No Bad Days,co_6817c9f6-5d04-4d24-92b2-14b62a834942,cus_S8rgiChsz6x3GR,sub_1REZxZKojVEYZPlXHy2s83IF,288,,0.0,eur,month
Mint Studios,co_0b2528c9-e39e-424f-a2e3-868d1b4307f6,cus_S94aZDe6Qv4GAB,sub_1REmRpKojVEYZPlXiGANOpFX,600,,0.0,eur,month
Masse,co_7aef14cc-bede-439f-8310-7b04c363e50e,cus_S9CEzgM5z0XcgK,sub_1REtpuKojVEYZPlXZIC664Ja,830,,0.0,eur,month
navas & cusi,co_6e694f6e-cd33-48e8-943c-54e82fdcb751,cus_S9CvFUcaGePTUq,sub_1REuY3KojVEYZPlXr6DyNoTJ,199,,0.0,eur,month
Getfluence,co_603e3faa-f332-449c-977c-639b7ac5bfc4,cus_SAz1CiPx3RBFO1,sub_1RGd4uKojVEYZPlXcuF2kuc4,90,,0.0,eur,month
Biggie - CHFR,co_3e3f6e54-24c4-4854-8dc2-6adc1e04d611,cus_SB0oYu1VjSTR7c,sub_1RGen4KojVEYZPlXSVQapDzu,448,,0.0,eur,month
Tulip,co_d7fbc5f1-a10e-4024-b6e5-ad2a00e36f8c,cus_SB6a7S4DuuF7Ii,sub_1RGkN1KojVEYZPlXAVRdFLoS,169,2029.0,0.0,eur,year
Omniscient,co_05b9ee43-e430-49ea-9816-4edeec0e0e93,cus_SB7wu6ZPIFgWlX,sub_1RGlgRKojVEYZPlXM7tBZaQF,1440,,0.0,eur,month
Asseco Solutions AG,co_0cda6001-4f69-47cc-bbd2-db4bf9825c41,cus_SBK7AMw1Il8i4x,sub_1RGxTgKojVEYZPlXDRkfS8nB,120,,0.0,eur,month
Downtown Ecommerce,co_723819ef-62b3-4f34-a4a2-98461456516d,cus_SBLEFZUZ5bDjmO,sub_1RGyXwKojVEYZPlXYHYWFf31,492,,0.0,eur,month
Growth Plays,co_5acd0425-e44f-4c42-8e32-7bc91d7460ff,cus_SBWWynndgSlFcq,sub_1RH9TAKojVEYZPlXEclydvvj,2966,,2.0,eur,month
Forge Holidays,co_aa7f01d4-6b8d-43af-b9aa-071d2824ebc7,cus_SBpeFx3B5fH57E,sub_1RHRzfKojVEYZPlXVQPG8Vr4,398,,0.0,eur,month
aurio,co_aea7afde-fd47-4301-b4ab-3d2acd705e4f,cus_SC9sdxaZGzxfpc,sub_1RHlYtKojVEYZPlXHh0uySi5,90,,0.0,eur,month
Stacksy,co_dd6d2ede-37b0-43cf-812f-7caf687cf384,cus_SCB8gcFTVnIUgr,sub_1RHmmWKojVEYZPlXxDRKN0sf,90,,0.0,eur,month
Welcome Pickups,co_b257ed29-42ef-4b1f-ab4f-338c354e847a,cus_SCCWOFWpb9aU5v,sub_1RHo8AKojVEYZPlXbzpctj17,150,,0.0,eur,month
Momentum,co_880eb7da-333c-4c9c-9b38-3f61a8862697,cus_SCG4FEaU1Go6nM,sub_1RHrYUKojVEYZPlXXg1STiwL,248,,0.0,eur,month
Digital Position,co_74b55a31-cdeb-483a-bfe3-4d5d9eb2955d,cus_SD77ljoXwqFc8t,sub_1RIgtmKojVEYZPlXWUyT7ORK,220,,0.0,eur,month
HowToSaaS,co_13c3eb00-c269-4ddc-9d53-3b8be3c2bd7a,cus_SDIMaUmvNtwyBd,sub_1RIrzOKojVEYZPlXcWIyCyvX,90,,0.0,eur,month
DataDome,co_1d40943f-c54b-48d0-a55e-5775dff4363b,cus_SDKZP95znaFWXB,sub_1RItv1KojVEYZPlXhb4CEDtk,248,,0.0,eur,month
